event_id,event_timestamp,unidad_negocio,tipo_evento,tipo_movimiento,insumo,categoria,cantidad,unidad_medida,origen,destino,sucursal,created_at
286eb795-00dc-4b71-9dfc-23747c7aca15,2026-01-03T20:12:47.328895,insumos,insumo_movement,VENTA,Soja RR,Semilla,1232,bolsas,Pergamino,Productor Pereyra,Pergamino,2026-01-07T23:12:08.573043
17a6859d-12da-47e4-98f8-d0d1a54534f2,2026-01-01T22:01:50.980989,insumos,insumo_movement,CONSUMO,Soja RR,Semilla,453,bolsas,Santa Rosa,Ganadería,Santa Rosa,2026-01-07T23:12:08.573087
b4079be0-76a0-4b71-b183-f4571897e9c7,2026-01-04T00:12:27.253088,insumos,insumo_movement,VENTA,Urea,Fertilizante,810,kg,9 de Julio,Productor Garcia,9 de Julio,2026-01-07T23:12:08.573187
79d43d7e-2840-4f1e-9b6c-823a497d141e,2026-01-02T01:03:22.883263,insumos,insumo_movement,TRANSFERENCIA,"2,4-D",Agroquímico,3094,lt,Pergamino,Bahía Blanca,Bahía Blanca,2026-01-07T23:12:08.573273
b04c46bd-5bca-4da7-b1e9-50bf90220203,2026-01-03T17:40:41.784724,insumos,insumo_movement,VENTA,Glifosato,Agroquímico,3132,lt,Pergamino,Productor Torres,Pergamino,2026-01-07T23:12:08.573330
9f0a0db9-1fe3-4b04-9388-b9920eb78e04,2026-01-07T10:00:39.733722,insumos,insumo_movement,CONSUMO,Maíz híbrido,Semilla,1074,bolsas,Pergamino,Ganadería,Pergamino,2026-01-07T23:12:08.573366
dcf536a1-0e8d-4030-abfe-8bc6ec760a5c,2026-01-06T16:32:25.785701,insumos,insumo_movement,TRANSFERENCIA,"2,4-D",Agroquímico,5150,lt,Trenque Lauquen,Bahía Blanca,Bahía Blanca,2026-01-07T23:12:08.573399
1d2d925c-213d-46ae-ae2d-4f2849141dc6,2026-01-02T09:36:15.579821,insumos,insumo_movement,VENTA,MAP,Fertilizante,1395,kg,Pergamino,Productor Blanco,Pergamino,2026-01-07T23:12:08.573443
cda14e96-3461-462b-9a87-ee88ba503ad6,2026-01-02T22:12:13.302389,insumos,insumo_movement,COMPRA,Glifosato,Agroquímico,6586,lt,Fabricante Directo,Santa Rosa,Santa Rosa,2026-01-07T23:12:08.573474
2c54773b-8b66-48f2-9482-5769bbd954f3,2026-01-06T11:41:33.177659,insumos,insumo_movement,VENTA,Glifosato,Agroquímico,2455,lt,9 de Julio,Productor Flores,9 de Julio,2026-01-07T23:12:08.573508
93df3d84-a203-4f4c-b2e6-08e2136c358a,2026-01-02T16:26:05.162961,insumos,insumo_movement,VENTA,"2,4-D",Agroquímico,4546,lt,Trenque Lauquen,Productor Gonzalez,Trenque Lauquen,2026-01-07T23:12:08.573540
abde2331-7733-4a02-81b3-a4b4fdf74c07,2026-01-02T11:10:50.329917,insumos,insumo_movement,CONSUMO,"2,4-D",Agroquímico,1703,lt,9 de Julio,Ganadería,9 de Julio,2026-01-07T23:12:08.573563
ea62ab39-2509-43f3-9d69-aee910512ebc,2026-01-02T15:26:07.050841,insumos,insumo_movement,COMPRA,MAP,Fertilizante,1763,kg,Proveedor Nacional,Bahía Blanca,Bahía Blanca,2026-01-07T23:12:08.573585
f9b9062b-2862-475f-969e-28439b6fe5d8,2026-01-05T12:53:13.799120,insumos,insumo_movement,VENTA,Urea,Fertilizante,2796,kg,9 de Julio,Productor Fernandez,9 de Julio,2026-01-07T23:12:08.573621
35d3c471-1c28-41a4-89b3-43371ef265ce,2026-01-07T10:05:53.969911,insumos,insumo_movement,VENTA,MAP,Fertilizante,3108,kg,Bahía Blanca,Productor Alvarez,Bahía Blanca,2026-01-07T23:12:08.573659
ab5720a3-d49b-4582-acea-e5d6ccb65042,2026-01-03T10:11:40.724682,insumos,insumo_movement,CONSUMO,MAP,Fertilizante,997,kg,9 de Julio,Ganadería,9 de Julio,2026-01-07T23:12:08.573694
60617b8a-f37f-4596-870a-9ca6082b446d,2026-01-02T08:57:54.038216,insumos,insumo_movement,VENTA,Glifosato,Agroquímico,606,lt,Bahía Blanca,Productor Flores,Bahía Blanca,2026-01-07T23:12:08.573734
81ee576a-3a95-4148-93c4-1303650dd63d,2026-01-03T20:34:09.910682,insumos,insumo_movement,TRANSFERENCIA,Urea,Fertilizante,3513,kg,Bahía Blanca,Trenque Lauquen,Trenque Lauquen,2026-01-07T23:12:08.573760
c7cfaa82-06db-41ed-91c5-5fb58ba43c99,2026-01-02T06:03:34.767158,insumos,insumo_movement,VENTA,Maíz híbrido,Semilla,2295,bolsas,Pergamino,Productor Navarro,Pergamino,2026-01-07T23:12:08.573792
a72e68c6-14a7-440c-9446-c17a400e11b5,2026-01-03T12:11:56.491927,insumos,insumo_movement,CONSUMO,Glifosato,Agroquímico,449,lt,Trenque Lauquen,Ganadería,Trenque Lauquen,2026-01-07T23:12:08.573814
143a44bc-803d-4378-8e1a-862aba4e48b1,2026-01-03T23:33:10.637291,insumos,insumo_movement,CONSUMO,Maíz híbrido,Semilla,2990,bolsas,Trenque Lauquen,Ganadería,Trenque Lauquen,2026-01-07T23:12:08.573834
1db9d65c-65e8-435a-9055-f81edc8433ae,2026-01-02T12:52:09.634728,insumos,insumo_movement,VENTA,"2,4-D",Agroquímico,4838,lt,Trenque Lauquen,Productor Soto,Trenque Lauquen,2026-01-07T23:12:08.573864
33c29840-6d69-48c9-9c64-d700b1749f08,2026-01-02T20:29:12.573919,insumos,insumo_movement,CONSUMO,Urea,Fertilizante,251,kg,Pergamino,Ganadería,Pergamino,2026-01-07T23:12:08.573885
e428715f-bb4e-4a8f-a75a-e4e68131077d,2026-01-05T02:24:08.656834,insumos,insumo_movement,VENTA,"2,4-D",Agroquímico,4502,lt,Pergamino,Productor Fernandez,Pergamino,2026-01-07T23:12:08.573913
018adc00-74d2-4e9b-bf67-331d3eb71d98,2026-01-06T01:58:21.930000,insumos,insumo_movement,TRANSFERENCIA,Soja RR,Semilla,6201,bolsas,9 de Julio,Pergamino,Pergamino,2026-01-07T23:12:08.573935
6a4dbca1-5356-44de-9a71-a9024f1f372d,2026-01-04T09:48:04.035371,insumos,insumo_movement,COMPRA,Urea,Fertilizante,12271,kg,Proveedor Nacional,9 de Julio,9 de Julio,2026-01-07T23:12:08.573957
c21d8da2-6a6f-4a51-a88e-846c74663347,2026-01-04T08:19:22.251067,insumos,insumo_movement,VENTA,Maíz híbrido,Semilla,3803,bolsas,Trenque Lauquen,Productor Flores,Trenque Lauquen,2026-01-07T23:12:08.573986
