event_id,lote_id,event_timestamp,unidad_negocio,tipo_evento,evento,granja,cantidad_animales,peso_promedio_kg,destino,created_at
ee4b275e-2c0a-449a-9de6-4679ffc4da59,2a601ef1-26a4-435d-b6dd-63ccd236dad0,2026-01-04T20:16:06.430246,cerdos,cerdo_event,NACIMIENTO,Granja La Esperanza,52,,,2026-01-07T20:24:57.218497
19aa1032-3cf6-4b52-a2be-819f69878b2c,2a601ef1-26a4-435d-b6dd-63ccd236dad0,2026-01-19T20:16:06.430246,cerdos,cerdo_event,ALIMENTACION,Granja La Esperanza,52,,,2026-01-07T20:24:57.218504
60f42e5e-115a-4a89-952d-2aa17c3bdd46,2a601ef1-26a4-435d-b6dd-63ccd236dad0,2026-02-18T20:16:06.430246,cerdos,cerdo_event,SANIDAD,Granja La Esperanza,52,,,2026-01-07T20:24:57.218514
d9d1d0de-fdac-48d7-96d4-b21f92f9533e,2a601ef1-26a4-435d-b6dd-63ccd236dad0,2026-04-04T20:16:06.430246,cerdos,cerdo_event,TRASLADO,Granja La Esperanza,52,116.0,,2026-01-07T20:24:57.218521
1a24ecec-275d-42ef-8fce-637b37bd83c5,2a601ef1-26a4-435d-b6dd-63ccd236dad0,2026-05-04T20:16:06.430246,cerdos,cerdo_event,VENTA,Granja La Esperanza,52,92.0,Frigorifico Paraná,2026-01-07T20:24:57.218538
be66659c-fa7c-4875-8545-8b6511106aa0,b8062fcc-dbf6-4617-8761-773581a8fc49,2026-01-05T14:44:55.962970,cerdos,cerdo_event,NACIMIENTO,Granja El Molino,39,,,2026-01-07T20:24:57.218614
a8de6d14-0693-43d1-b3ec-9dd3df2a3f2d,b8062fcc-dbf6-4617-8761-773581a8fc49,2026-01-20T14:44:55.962970,cerdos,cerdo_event,ALIMENTACION,Granja El Molino,39,,,2026-01-07T20:24:57.218619
3f6ddc9f-1210-4b38-b4bc-0c5ee7042b51,b8062fcc-dbf6-4617-8761-773581a8fc49,2026-02-19T14:44:55.962970,cerdos,cerdo_event,SANIDAD,Granja El Molino,39,,,2026-01-07T20:24:57.218624
2998a1c1-5313-45ad-bb8d-76ee041116ab,b8062fcc-dbf6-4617-8761-773581a8fc49,2026-04-05T14:44:55.962970,cerdos,cerdo_event,TRASLADO,Granja El Molino,39,6.0,,2026-01-07T20:24:57.218629
bfc6dd98-4a69-423f-b6f1-0d4cea015ef3,b8062fcc-dbf6-4617-8761-773581a8fc49,2026-05-05T14:44:55.962970,cerdos,cerdo_event,VENTA,Granja El Molino,39,68.0,Frigorifico San Ferando del Valle de Catamarca,2026-01-07T20:24:57.218640
278e9f65-fcb9-4a8a-9e18-0772008c151e,c03f58bd-3291-43f8-9b2c-f4d423397a4a,2026-01-06T17:18:00.556335,cerdos,cerdo_event,NACIMIENTO,Granja Centro,159,,,2026-01-07T20:24:57.218670
6b257449-12a8-4314-9d39-88c3cb661698,c03f58bd-3291-43f8-9b2c-f4d423397a4a,2026-01-21T17:18:00.556335,cerdos,cerdo_event,ALIMENTACION,Granja Centro,159,,,2026-01-07T20:24:57.218675
c00497f2-e629-47cc-b47c-0c15c2ab7ee0,c03f58bd-3291-43f8-9b2c-f4d423397a4a,2026-02-20T17:18:00.556335,cerdos,cerdo_event,SANIDAD,Granja Centro,159,,,2026-01-07T20:24:57.218680
cf9b17ad-58de-41b9-8e61-f575e3e381f1,c03f58bd-3291-43f8-9b2c-f4d423397a4a,2026-04-06T17:18:00.556335,cerdos,cerdo_event,TRASLADO,Granja Centro,159,19.0,,2026-01-07T20:24:57.218685
be07b461-23d6-45fc-9166-d05910485a52,c03f58bd-3291-43f8-9b2c-f4d423397a4a,2026-05-06T17:18:00.556335,cerdos,cerdo_event,VENTA,Granja Centro,159,28.0,Frigorifico Chilecito,2026-01-07T20:24:57.218694
7234f990-3c08-42c6-b25d-e2d3ea63d329,99891018-9f1e-460a-b632-fef443385fbd,2026-01-06T18:44:19.439017,cerdos,cerdo_event,NACIMIENTO,Granja Norte,190,,,2026-01-07T20:24:57.218720
f01f3ea5-2aef-4225-a210-3932ebd79812,99891018-9f1e-460a-b632-fef443385fbd,2026-01-21T18:44:19.439017,cerdos,cerdo_event,ALIMENTACION,Granja Norte,190,,,2026-01-07T20:24:57.218724
21027dab-c6c6-442e-91dc-41845dcac200,99891018-9f1e-460a-b632-fef443385fbd,2026-02-20T18:44:19.439017,cerdos,cerdo_event,SANIDAD,Granja Norte,190,,,2026-01-07T20:24:57.218728
1269369c-3d4b-4f69-b638-e5c842ebd6a6,99891018-9f1e-460a-b632-fef443385fbd,2026-04-06T18:44:19.439017,cerdos,cerdo_event,TRASLADO,Granja Norte,190,16.0,,2026-01-07T20:24:57.218734
6e85bea5-3a76-447d-bcbb-676497881401,99891018-9f1e-460a-b632-fef443385fbd,2026-05-06T18:44:19.439017,cerdos,cerdo_event,VENTA,Granja Norte,190,43.0,Frigorifico San Luis,2026-01-07T20:24:57.218742
0c1d27fb-bae8-4667-87fc-3ff2fa02dec2,1190df76-7fa7-42df-84de-5bc2b1bd58ba,2026-01-07T00:08:52.344135,cerdos,cerdo_event,NACIMIENTO,Granja La Esperanza,31,,,2026-01-07T20:24:57.218767
2bf2de34-388c-45a6-b9de-ed029586e1cd,1190df76-7fa7-42df-84de-5bc2b1bd58ba,2026-01-22T00:08:52.344135,cerdos,cerdo_event,ALIMENTACION,Granja La Esperanza,31,,,2026-01-07T20:24:57.218777
07cea5c2-2c33-437b-99f2-9295af94b375,1190df76-7fa7-42df-84de-5bc2b1bd58ba,2026-02-21T00:08:52.344135,cerdos,cerdo_event,SANIDAD,Granja La Esperanza,31,,,2026-01-07T20:24:57.218781
9a3dc754-6e6d-4589-a183-98e1175ea138,1190df76-7fa7-42df-84de-5bc2b1bd58ba,2026-04-07T00:08:52.344135,cerdos,cerdo_event,TRASLADO,Granja La Esperanza,31,29.0,,2026-01-07T20:24:57.218787
b031102a-456d-4c90-8536-ee823af7d53e,1190df76-7fa7-42df-84de-5bc2b1bd58ba,2026-05-07T00:08:52.344135,cerdos,cerdo_event,VENTA,Granja La Esperanza,31,107.0,Frigorifico San Salvador de Jujuy,2026-01-07T20:24:57.218796
